method,delta,obs.diff.away,obs.diff.home,p_value.away,p_value.home
nobalance.but5min,2,-0.02856129146709241,-0.010133944307367027,0.163,0.6338
nobalance.but5min,4,-0.03642172523961662,-0.030138859667578344,0.0264,0.0696
nobalance.but5min,6,-0.04371681255659521,-0.040573296447291796,0.0022,0.0066
maha.but5min,2,-0.021021820117083534,-0.009781459287980243,0.3054,0.6462
maha.but5min,4,-0.055111821086262,-0.022406900904691773,4e-4,0.1774
maha.but5min,6,-0.05055789314820405,-0.040283110075713446,6e-4,0.008
propensity.but5min,2,-0.04434983147064042,-0.012160733168840365,0.0326,0.5552
propensity.but5min,4,-0.057082002129925424,-0.0384494003787082,6e-4,0.0194
propensity.but5min,6,-0.046382915786296414,-0.05474647641234712,0.002,6e-4
